url_path,views_total,views_unique
/att/qujata,40,27
/att/qujata/tree/main,18,14
/att/qujata/blob/9566a5e1c53087194c281e92c41b5e5f3422a993/api/config/mysql_config.py,10,1
/att/qujata/blob/9566a5e1c53087194c281e92c41b5e5f3422a993/portal/docker-entrypoint.sh,6,1
/att/qujata/blob/9566a5e1c53087194c281e92c41b5e5f3422a993/portal/Dockerfile,6,1
/att/qujata/blob/9566a5e1c53087194c281e92c41b5e5f3422a993/portal/nginx.conf,6,1
/att/qujata/blob/9566a5e1c53087194c281e92c41b5e5f3422a993/portal/README.md,6,1
/att/qujata/commits/main,6,1
/att/qujata/blob/9566a5e1c53087194c281e92c41b5e5f3422a993/portal/package.json,5,2
/att/qujata/blob/main/LICENSE,4,2
