time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-17 00:00:00+00:00,6,3,4.0,2.0
2024-05-18 00:00:00+00:00,1,1,,
2024-05-19 00:00:00+00:00,1,1,4.0,1.0
2024-05-20 00:00:00+00:00,3,2,80.0,7.0
2024-05-21 00:00:00+00:00,8,4,318.0,6.0
2024-05-22 00:00:00+00:00,1,1,50.0,4.0
2024-05-23 00:00:00+00:00,3,2,6.0,3.0
2024-05-24 00:00:00+00:00,7,4,140.0,2.0
2024-05-25 00:00:00+00:00,1,1,8.0,1.0
2024-05-26 00:00:00+00:00,5,2,58.0,4.0
2024-05-27 00:00:00+00:00,7,4,110.0,4.0
2024-05-28 00:00:00+00:00,4,3,24.0,7.0
2024-05-29 00:00:00+00:00,10,4,82.0,5.0
2024-05-30 00:00:00+00:00,5,5,46.0,4.0
