time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-25 00:00:00+00:00,31,10,191.0,4.0
2023-12-26 00:00:00+00:00,29,6,58.0,8.0
2023-12-27 00:00:00+00:00,38,12,62.0,10.0
2023-12-28 00:00:00+00:00,18,8,39.0,8.0
2023-12-29 00:00:00+00:00,8,7,1.0,1.0
2023-12-30 00:00:00+00:00,8,7,1.0,1.0
2023-12-31 00:00:00+00:00,17,6,36.0,10.0
2024-01-01 00:00:00+00:00,7,6,7.0,4.0
2024-01-02 00:00:00+00:00,12,5,57.0,18.0
2024-01-03 00:00:00+00:00,12,5,78.0,10.0
2024-01-04 00:00:00+00:00,4,3,26.0,5.0
2024-01-05 00:00:00+00:00,3,3,,
2024-01-06 00:00:00+00:00,3,3,,
2024-01-07 00:00:00+00:00,3,2,47.0,6.0
