time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-04 00:00:00+00:00,3.0,2.0,3.0,2.0
2024-07-05 00:00:00+00:00,1.0,1.0,,
2024-07-06 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-07-07 00:00:00+00:00,3.0,2.0,1.0,1.0
2024-07-09 00:00:00+00:00,,,15.0,2.0
2024-07-10 00:00:00+00:00,9.0,3.0,,
2024-07-11 00:00:00+00:00,5.0,2.0,93.0,1.0
2024-07-12 00:00:00+00:00,2.0,1.0,,
2024-07-14 00:00:00+00:00,2.0,1.0,5.0,1.0
2024-07-15 00:00:00+00:00,5.0,2.0,6.0,5.0
2024-07-16 00:00:00+00:00,,,12.0,2.0
2024-07-17 00:00:00+00:00,1.0,1.0,12.0,1.0
