referrer,views_total,views_unique
Google,96,9
github.com,43,3
DuckDuckGo,14,2
statics.teams.cdn.office.net,4,1
atis.org,3,2
Bing,2,2
search.brave.com,2,1
nz.rcloud.social,1,1
