time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-17 00:00:00+00:00,16,6,25,4
2023-12-18 00:00:00+00:00,12,6,32,4
2023-12-19 00:00:00+00:00,15,4,94,10
2023-12-20 00:00:00+00:00,29,5,70,6
2023-12-21 00:00:00+00:00,24,6,42,2
2023-12-22 00:00:00+00:00,1,1,4,1
2023-12-24 00:00:00+00:00,14,5,186,13
2023-12-25 00:00:00+00:00,31,10,191,4
2023-12-26 00:00:00+00:00,29,6,58,8
2023-12-27 00:00:00+00:00,38,12,62,10
2023-12-28 00:00:00+00:00,18,8,39,8
2023-12-29 00:00:00+00:00,8,7,1,1
2023-12-30 00:00:00+00:00,4,3,1,1
