time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-25 00:00:00+00:00,1,1,19.0,7.0
2024-02-26 00:00:00+00:00,4,4,3.0,3.0
2024-02-27 00:00:00+00:00,5,4,9.0,3.0
2024-02-28 00:00:00+00:00,12,4,44.0,7.0
2024-02-29 00:00:00+00:00,1,1,38.0,6.0
2024-03-01 00:00:00+00:00,4,3,94.0,8.0
2024-03-02 00:00:00+00:00,1,1,1.0,1.0
2024-03-03 00:00:00+00:00,8,5,69.0,10.0
2024-03-04 00:00:00+00:00,6,6,287.0,23.0
2024-03-05 00:00:00+00:00,2,2,37.0,4.0
2024-03-06 00:00:00+00:00,1,1,15.0,8.0
2024-03-07 00:00:00+00:00,4,3,23.0,6.0
2024-03-08 00:00:00+00:00,5,5,19.0,3.0
2024-03-09 00:00:00+00:00,3,3,,
