time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-02 00:00:00+00:00,1,1,1.0,1.0
2024-03-03 00:00:00+00:00,8,5,69.0,10.0
2024-03-04 00:00:00+00:00,6,6,287.0,23.0
2024-03-05 00:00:00+00:00,2,2,37.0,4.0
2024-03-06 00:00:00+00:00,1,1,15.0,8.0
2024-03-07 00:00:00+00:00,4,3,23.0,6.0
2024-03-08 00:00:00+00:00,5,5,19.0,3.0
2024-03-09 00:00:00+00:00,4,4,,
2024-03-10 00:00:00+00:00,3,3,7.0,3.0
2024-03-11 00:00:00+00:00,3,3,4.0,4.0
2024-03-12 00:00:00+00:00,4,4,44.0,11.0
2024-03-13 00:00:00+00:00,2,2,27.0,7.0
2024-03-14 00:00:00+00:00,3,2,18.0,5.0
