time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-24 00:00:00+00:00,5,5,10,4
2024-02-25 00:00:00+00:00,1,1,19,7
2024-02-26 00:00:00+00:00,4,4,3,3
2024-02-27 00:00:00+00:00,5,4,9,3
2024-02-28 00:00:00+00:00,12,4,44,7
2024-02-29 00:00:00+00:00,1,1,38,6
2024-03-01 00:00:00+00:00,4,3,94,8
2024-03-02 00:00:00+00:00,1,1,1,1
2024-03-03 00:00:00+00:00,8,5,69,10
2024-03-04 00:00:00+00:00,6,6,287,23
2024-03-05 00:00:00+00:00,2,2,37,4
2024-03-06 00:00:00+00:00,1,1,15,8
2024-03-07 00:00:00+00:00,4,3,23,6
2024-03-08 00:00:00+00:00,2,2,19,3
