time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-10 00:00:00+00:00,6.0,3.0,36.0,4.0
2024-06-11 00:00:00+00:00,1.0,1.0,7.0,1.0
2024-06-12 00:00:00+00:00,7.0,7.0,10.0,3.0
2024-06-13 00:00:00+00:00,6.0,5.0,12.0,3.0
2024-06-14 00:00:00+00:00,4.0,2.0,14.0,4.0
2024-06-15 00:00:00+00:00,5.0,2.0,45.0,1.0
2024-06-16 00:00:00+00:00,,,3.0,1.0
2024-06-17 00:00:00+00:00,6.0,3.0,41.0,3.0
2024-06-18 00:00:00+00:00,2.0,2.0,120.0,1.0
2024-06-19 00:00:00+00:00,1.0,1.0,337.0,3.0
2024-06-20 00:00:00+00:00,5.0,3.0,9.0,2.0
2024-06-21 00:00:00+00:00,3.0,3.0,73.0,2.0
2024-06-22 00:00:00+00:00,6.0,4.0,,
