time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-21 00:00:00+00:00,3.0,1.0,1,1
2024-07-22 00:00:00+00:00,,,44,5
2024-07-23 00:00:00+00:00,2.0,1.0,26,4
2024-07-24 00:00:00+00:00,3.0,1.0,19,5
2024-07-25 00:00:00+00:00,2.0,1.0,1,1
2024-07-26 00:00:00+00:00,,,4,1
2024-07-28 00:00:00+00:00,3.0,1.0,2,1
2024-07-29 00:00:00+00:00,6.0,2.0,4,3
2024-07-30 00:00:00+00:00,3.0,1.0,15,1
2024-07-31 00:00:00+00:00,,,2,1
2024-08-01 00:00:00+00:00,2.0,1.0,5,4
2024-08-03 00:00:00+00:00,,,35,2
