referrer,views_total,views_unique
github.com,71,8
Google,69,11
statics.teams.cdn.office.net,35,9
atis.org,18,6
linkedin.com,5,1
sans.org,3,1
Bing,2,2
kornshell.org,1,1
DuckDuckGo,1,1
