time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-19 00:00:00+00:00,2.0,2.0,6.0,2.0
2024-03-20 00:00:00+00:00,2.0,2.0,15.0,2.0
2024-03-21 00:00:00+00:00,5.0,4.0,9.0,3.0
2024-03-22 00:00:00+00:00,1.0,1.0,21.0,6.0
2024-03-23 00:00:00+00:00,2.0,2.0,39.0,6.0
2024-03-24 00:00:00+00:00,2.0,2.0,11.0,2.0
2024-03-25 00:00:00+00:00,1.0,1.0,21.0,6.0
2024-03-26 00:00:00+00:00,3.0,3.0,262.0,5.0
2024-03-27 00:00:00+00:00,14.0,8.0,74.0,7.0
2024-03-28 00:00:00+00:00,21.0,9.0,165.0,9.0
2024-03-29 00:00:00+00:00,2.0,2.0,7.0,4.0
2024-03-30 00:00:00+00:00,2.0,2.0,,
2024-03-31 00:00:00+00:00,3.0,3.0,44.0,10.0
2024-04-01 00:00:00+00:00,,,161.0,10.0
