time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-12 00:00:00+00:00,4.0,4.0,44.0,11.0
2024-03-13 00:00:00+00:00,2.0,2.0,27.0,7.0
2024-03-14 00:00:00+00:00,3.0,2.0,18.0,5.0
2024-03-15 00:00:00+00:00,2.0,2.0,,
2024-03-16 00:00:00+00:00,1.0,1.0,2.0,2.0
2024-03-17 00:00:00+00:00,2.0,2.0,2.0,2.0
2024-03-18 00:00:00+00:00,7.0,4.0,99.0,5.0
2024-03-19 00:00:00+00:00,2.0,2.0,6.0,2.0
2024-03-20 00:00:00+00:00,2.0,2.0,15.0,2.0
2024-03-21 00:00:00+00:00,5.0,4.0,9.0,3.0
2024-03-22 00:00:00+00:00,1.0,1.0,21.0,6.0
2024-03-23 00:00:00+00:00,2.0,2.0,39.0,6.0
2024-03-24 00:00:00+00:00,2.0,2.0,11.0,2.0
2024-03-25 00:00:00+00:00,,,21.0,6.0
