time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-14 00:00:00+00:00,107,32,155,7
2024-02-15 00:00:00+00:00,20,9,68,10
2024-02-16 00:00:00+00:00,6,4,1,1
2024-02-17 00:00:00+00:00,3,3,16,4
2024-02-18 00:00:00+00:00,68,19,162,8
2024-02-19 00:00:00+00:00,4,4,82,10
2024-02-20 00:00:00+00:00,15,7,110,10
2024-02-21 00:00:00+00:00,1,1,20,7
2024-02-22 00:00:00+00:00,5,4,6,4
2024-02-23 00:00:00+00:00,4,4,1,1
2024-02-24 00:00:00+00:00,5,5,10,4
2024-02-25 00:00:00+00:00,1,1,19,7
2024-02-26 00:00:00+00:00,4,4,3,3
2024-02-27 00:00:00+00:00,3,2,8,2
