time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-13 00:00:00+00:00,1,1,68.0,7.0
2024-05-14 00:00:00+00:00,5,2,,
2024-05-15 00:00:00+00:00,5,2,,
2024-05-16 00:00:00+00:00,3,2,633.0,2.0
2024-05-17 00:00:00+00:00,6,3,4.0,2.0
2024-05-18 00:00:00+00:00,1,1,,
2024-05-19 00:00:00+00:00,1,1,4.0,1.0
2024-05-20 00:00:00+00:00,3,2,80.0,7.0
2024-05-21 00:00:00+00:00,8,4,318.0,6.0
2024-05-22 00:00:00+00:00,1,1,50.0,4.0
2024-05-23 00:00:00+00:00,3,2,6.0,3.0
2024-05-24 00:00:00+00:00,7,4,140.0,2.0
2024-05-25 00:00:00+00:00,1,1,8.0,1.0
2024-05-26 00:00:00+00:00,4,1,58.0,4.0
