time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-25 00:00:00+00:00,1.0,1.0,8.0,1.0
2024-05-26 00:00:00+00:00,5.0,2.0,58.0,4.0
2024-05-27 00:00:00+00:00,7.0,4.0,110.0,4.0
2024-05-28 00:00:00+00:00,4.0,3.0,24.0,7.0
2024-05-29 00:00:00+00:00,10.0,4.0,82.0,5.0
2024-05-30 00:00:00+00:00,8.0,7.0,46.0,4.0
2024-05-31 00:00:00+00:00,3.0,2.0,31.0,2.0
2024-06-01 00:00:00+00:00,1.0,1.0,27.0,2.0
2024-06-02 00:00:00+00:00,8.0,5.0,,
2024-06-03 00:00:00+00:00,19.0,10.0,41.0,6.0
2024-06-04 00:00:00+00:00,4.0,3.0,41.0,6.0
2024-06-05 00:00:00+00:00,3.0,3.0,9.0,4.0
2024-06-06 00:00:00+00:00,7.0,3.0,65.0,7.0
2024-06-07 00:00:00+00:00,,,2.0,1.0
