url_path,views_total,views_unique
/att/qujata,60,32
/att/qujata/blob/afa50566d883cd33b85b1f6f93db1f37348bab53/portal/package.json,18,5
/att/qujata/blob/main/LICENSE,10,3
/att/qujata/blob/github-repo-stats/att/qujata/latest-report/report.pdf,8,4
/att/qujata/blob/afa50566d883cd33b85b1f6f93db1f37348bab53/portal/mock-server/package.json,8,2
/att/qujata/tree/afa50566d883cd33b85b1f6f93db1f37348bab53/portal,8,2
/att/qujata/branches,8,1
/att/qujata/pulse,7,5
/att/qujata/pull/135,7,2
/att/qujata/pulls,7,2
